10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
10875	Baden-Württemberg	Stadtkreis Stuttgart
11512	Baden-Württemberg	Stadtkreis Stuttgart
22781	Baden-Württemberg	Stadtkreis Stuttgart
50606	Baden-Württemberg	Stadtkreis Stuttgart
70131	Baden-Württemberg	Stadtkreis Stuttgart
70134	Baden-Württemberg	Stadtkreis Stuttgart
70135	Baden-Württemberg	Stadtkreis Stuttgart
70136	Baden-Württemberg	Stadtkreis Stuttgart
70137	Baden-Württemberg	Stadtkreis Stuttgart
70138	Baden-Württemberg	Stadtkreis Stuttgart
70139	Baden-Württemberg	Stadtkreis Stuttgart
70140	Baden-Württemberg	Stadtkreis Stuttgart
70141	Baden-Württemberg	Stadtkreis Stuttgart
70143	Baden-Württemberg	Rems-Murr-Kreis
70144	Baden-Württemberg	Stadtkreis Stuttgart
70145	Baden-Württemberg	Stadtkreis Stuttgart
70146	Baden-Württemberg	Stadtkreis Stuttgart
70148	Baden-Württemberg	Stadtkreis Stuttgart
70149	Baden-Württemberg	Stadtkreis Stuttgart
70150	Baden-Württemberg	Stadtkreis Stuttgart
70151	Baden-Württemberg	Stadtkreis Stuttgart
70152	Baden-Württemberg	Stadtkreis Stuttgart
70153	Baden-Württemberg	Stadtkreis Stuttgart
70154	Baden-Württemberg	Stadtkreis Stuttgart
70155	Baden-Württemberg	Stadtkreis Stuttgart
70158	Baden-Württemberg	Stadtkreis Stuttgart
70161	Baden-Württemberg	Stadtkreis Stuttgart
70162	Baden-Württemberg	Stadtkreis Stuttgart
70166	Baden-Württemberg	Stadtkreis Stuttgart
70167	Baden-Württemberg	Stadtkreis Stuttgart
70168	Baden-Württemberg	Stadtkreis Stuttgart
70168	Baden-Württemberg	Stadtkreis Stuttgart
70171	Baden-Württemberg	Stadtkreis Stuttgart
70320	Baden-Württemberg	Stadtkreis Stuttgart
70322	Baden-Württemberg	Stadtkreis Stuttgart
70323	Baden-Württemberg	Stadtkreis Stuttgart
70324	Baden-Württemberg	Stadtkreis Stuttgart
70324	Baden-Württemberg	Stadtkreis Stuttgart
70324	Baden-Württemberg	Stadtkreis Stuttgart
70324	Baden-Württemberg	Stadtkreis Stuttgart
70345	Baden-Württemberg	Stadtkreis Stuttgart
70363	Baden-Württemberg	Stadtkreis Stuttgart
70365	Baden-Württemberg	Stadtkreis Stuttgart
70366	Baden-Württemberg	Stadtkreis Stuttgart
70367	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70369	Baden-Württemberg	Stadtkreis Stuttgart
70429	Baden-Württemberg	Stadtkreis Stuttgart
70431	Baden-Württemberg	Stadtkreis Stuttgart
70432	Baden-Württemberg	Stadtkreis Stuttgart
70432	Baden-Württemberg	Stadtkreis Stuttgart
70432	Baden-Württemberg	Stadtkreis Stuttgart
70432	Baden-Württemberg	Stadtkreis Stuttgart
70464	Baden-Württemberg	Stadtkreis Stuttgart
70465	Baden-Württemberg	Landkreis Böblingen
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70466	Baden-Württemberg	Stadtkreis Stuttgart
70467	Baden-Württemberg	Stadtkreis Stuttgart
70494	Baden-Württemberg	Stadtkreis Stuttgart
70496	Baden-Württemberg	Stadtkreis Stuttgart
70496	Baden-Württemberg	Stadtkreis Stuttgart
70496	Baden-Württemberg	Stadtkreis Stuttgart
70496	Baden-Württemberg	Stadtkreis Stuttgart
